code,title,description,videoUrl,coverUrl,isFavourite,rating,publishedAt
TEST001,"Test Movie 1","This is a test movie for CSV import functionality","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","https://picsum.photos/300/450?random=999",false,7,"2024-01-01"
TEST002,"Test Movie 2","Another test movie with different settings","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","https://picsum.photos/300/450?random=998",true,9,"2024-02-01"
TEST003,"Test Movie 3","Third test movie with minimal data","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","",false,5,"2024-03-01"
TEST004,"Test Movie 4","This is a test movie for CSV import functionality","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","https://picsum.photos/300/450?random=999",false,7,"2024-01-01"
TEST005,"Test Movie 5","Another test movie with different settings","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","https://picsum.photos/300/450?random=998",true,9,"2024-02-01"
TEST006,"Test Movie 6","Third test movie with minimal data","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","",false,5,"2024-03-01"
TEST007,"Test Movie 7","This is a test movie for CSV import functionality","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","https://picsum.photos/300/450?random=999",false,7,"2024-01-01"
TEST008,"Test Movie 8","Another test movie with different settings","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","https://picsum.photos/300/450?random=998",true,9,"2024-02-01"
TEST009,"Test Movie 9","Third test movie with minimal data","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","",false,5,"2024-03-01"
TEST010,"Test Movie 10","This is a test movie for CSV import functionality","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","https://picsum.photos/300/450?random=999",false,7,"2024-01-01"
TEST011,"Test Movie 11","Another test movie with different settings","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","https://picsum.photos/300/450?random=998",true,9,"2024-02-01"
TEST012,"Test Movie 12","Third test movie with minimal data","https://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","",false,5,"2024-03-01"
